file,pe_mean,pe_std,pe_median,coord_mean,coord_std,coord_entropy,coord_bin_10_11,vacancies,file_hash,_n_atoms_metadata,_processing_mode,file_path
dump.fcc_ni.134.,-4.002875695538058,0.22603457948392647,-4.0654,10.931758530183727,1.8297438142399642,1.8389553851558766,0.33858267716535434,16003,6b5d5326,381,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.134.
dump.fcc_ni.135.,-4.00065806122449,0.21056502255259357,-3.991275,10.920918367346939,1.7124102973782738,1.8040815632045504,0.3647959183673469,15992,a876d68e,392,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.135.
dump.fcc_ni.136.,-4.003170586734694,0.20982402690202986,-3.990335,11.099489795918368,1.7930812597279806,1.7879462223033422,0.37755102040816324,15992,bfbebdbb,392,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.136.
dump.fcc_ni.137.,-4.002465816326531,0.2110523863099085,-3.99198,11.033163265306122,1.7639244185481517,1.7914777280592658,0.3877551020408163,15992,2f59b0a4,392,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.137.
dump.fcc_ni.138.,-3.9993444387755104,0.21133474325484108,-3.986965,10.89795918367347,1.7692444724923846,1.808301584802249,0.37755102040816324,15992,5ad94840,392,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.138.
dump.fcc_ni.139.,-4.003039336734695,0.21102595651807182,-3.992885,10.936224489795919,1.7025673499715062,1.808711294348077,0.4005102040816326,15992,122ec1d3,392,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.139.
dump.fcc_ni.14.,-4.2137295833333335,0.06992235435788237,-4.19776,12.541666666666666,0.9770927002733856,0.9855939520286114,0.125,16360,1b6e3e0b,24,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.14.
dump.fcc_ni.140.,-3.99711522673031,0.21705251640145629,-3.99381,10.823389021479713,1.7964150821409006,1.8459093181006803,0.36992840095465396,15965,3c72470e,419,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.140.
dump.fcc_ni.141.,-3.997256610978521,0.21723874239880273,-3.99936,10.9618138424821,1.800710267548563,1.8013422487679482,0.3436754176610978,15965,4700a663,419,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.141.
dump.fcc_ni.142.,-3.997354630071599,0.2150347683382867,-3.99647,11.016706443914082,1.8003741336939294,1.8016675902862191,0.34844868735083534,15965,2287ae12,419,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.142.
dump.fcc_ni.143.,-3.9983007637231505,0.2179944335499085,-3.99418,10.957040572792362,1.7232068763039736,1.7872706632878879,0.360381861575179,15965,ce5fa5e8,419,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.143.
dump.fcc_ni.144.,-3.9990668973747017,0.2176461282638527,-3.98757,10.947494033412887,1.7695219184684858,1.8035238694403113,0.3723150357995227,15965,60d0a1dd,419,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.144.
dump.fcc_ni.145.,-3.9952575172413796,0.2070966009536144,-3.98418,10.813793103448276,1.664149802568902,1.8119293600804776,0.42758620689655175,15949,651540b0,435,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.145.
dump.fcc_ni.146.,-3.994696252873563,0.20594865938900755,-3.98067,10.974712643678162,1.7111196640777893,1.7782767942258546,0.3931034482758621,15949,36ff632f,435,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.146.
dump.fcc_ni.147.,-3.9931844827586205,0.20774970104709686,-3.98261,10.910344827586206,1.7436543596657135,1.8059666900174216,0.3839080459770115,15949,af219dcb,435,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.147.
dump.fcc_ni.148.,-3.994140551724138,0.2079082506706502,-3.97836,10.790804597701149,1.745278831320988,1.8284115065483852,0.40229885057471265,15949,eae31fed,435,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.148.
dump.fcc_ni.149.,-3.9979877011494254,0.2053333470266209,-3.98964,10.848275862068965,1.6766120978001293,1.7921651800336211,0.3954022988505747,15949,54aace47,435,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.149.
dump.fcc_ni.15.,-4.193339999999999,0.1060642703098628,-4.250385,12.558823529411764,1.1062132095053536,1.080584021740054,0.14705882352941177,16350,f9e0189f,34,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.15.
dump.fcc_ni.150.,-3.9943300429184543,0.21645607893111873,-3.988165,10.901287553648068,1.7173743571878775,1.8098469280484104,0.36909871244635195,15918,2364381b,466,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.150.
dump.fcc_ni.151.,-3.9954810729613732,0.21700046496091865,-3.9923599999999997,11.023605150214593,1.804856258743645,1.804763963324712,0.3562231759656652,15918,2aa23e5e,466,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.151.
dump.fcc_ni.152.,-3.9947818669527897,0.21643457431788227,-3.98618,10.959227467811159,1.804549401289837,1.7911405743895636,0.37553648068669526,15918,f925a0ec,466,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.152.
dump.fcc_ni.153.,-3.995161244635193,0.21542147722460347,-3.9882549999999997,10.819742489270386,1.756620881918728,1.8148637469371833,0.38197424892703863,15918,cbcef488,466,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.153.
dump.fcc_ni.154.,-3.9924274034334766,0.2195648417561288,-3.9884649999999997,10.841201716738198,1.7973989133874846,1.8366392270997123,0.3562231759656652,15918,3e91f312,466,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.154.
dump.fcc_ni.155.,-3.9907993415637866,0.21526116098745882,-3.9837249999999997,10.802469135802468,1.7284979696268665,1.8331316412263106,0.360082304526749,15898,3abe6961,486,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.155.
dump.fcc_ni.156.,-3.991814259259259,0.2148679158401538,-3.9876050000000003,10.983539094650206,1.8421571357789885,1.8147439455551313,0.35390946502057613,15898,1357a482,486,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.156.
dump.fcc_ni.157.,-3.9911332098765433,0.21404670947987026,-3.9816599999999998,10.810699588477366,1.78573058896659,1.8342798218641585,0.3724279835390947,15898,148237bc,486,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.157.
dump.fcc_ni.158.,-3.988946893004115,0.21482228860925107,-3.9904,10.76954732510288,1.7739171521534394,1.847855309682059,0.3991769547325103,15898,c0f22387,486,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.158.
dump.fcc_ni.159.,-3.9918175925925925,0.21291738716623776,-3.98858,10.82716049382716,1.7011102993272604,1.8129526072066564,0.4094650205761317,15898,50487bce,486,standard,/home/santi-simaf/Escritorio/databases/database_procesada/dump.fcc_ni.159.
